#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
105,Montenegro,"295,898",,"2,843                                ",,"291,794",,"1,261",N/A,"471,213","4,527","2,764,972","4,403,172","627,950 ",Europe,,22210,,,"2,008",
106,Algeria,"272,010",,"6,881                                ",,"183,061",,"82,068",,"5,998",152,"230,960","5,093","45,350,148 ",Africa,,"1676,591196",,,"1,810",
107,Nigeria,"267,173",,"3,155                                ",,"259,953",,"4,065",11,"1,233",15,"5,708,974","26,339","216,746,934 ",Africa,,"81168,70038",,,19,
108,Zimbabwe,"266,048",,"5,731                                ",,"258,888",,"1,429",12,"17,353",374,"2,525,756","164,744","15,331,428 ",Africa,,"582,6756",,,93,
109,Uzbekistan,"253,662",,"1,637                                ",,"241,486",,"10,539",23,"7,378",48,"1,377,915","40,077","34,382,084 ",Asia,,"13621,00325",,,307,
110,Mozambique,"233,731",,"2,250                                ",,"228,805",,"2,676",11,"7,064",68,"1,371,127","41,437","33,089,461 ",Africa,,"14214,70624",,,81,
111,Afghanistan,"230,449",,"7,973                                ",,"209,283",,"13,193",,"5,655",196,"1,349,589","33,115","40,754,388 ",Asia,,"1775,11230",,,324,
112,Martinique,"230,354",,"1,102                                ",,N/A,N/A,N/A,N/A,"615,777","2,946","828,928","2,215,870","374,087 ",North America,,23390,,,"612,553",
113,Laos,"218,907",,758                                ,,N/A,N/A,N/A,,"29,262",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,"28,136",
114,Iceland,"209,650",,229                                ,,N/A,N/A,N/A,,"606,990",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"387,200",
115,Kyrgyzstan,"206,897",,"2,991                                ",,"196,406",,"7,500",131,"30,750",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,115",
116,Guadeloupe,"203,235",,"1,021                                ",,N/A,N/A,N/A,N/A,"508,349","2,554","938,039","2,346,306","399,794 ",North America,,23920,,,"500,168",
117,El Salvador,"201,835",,"4,230                                ",,"179,410",,"18,195",,"30,813",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,778",
118,Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,N/A,"136,143","3,121","913,289","649,295","1,406,585 ",North America,,73202,,,20,
119,Maldives,"186,694",,316                                ,,"163,687",,"22,691",25,"345,100",584,"2,213,831","4,092,223","540,985 ",Asia,,"31,7120",,,"41,944",
120,Namibia,"172,239",,"4,103                                ",,"167,099",,"1,037",,"65,394","1,558","1,062,663","403,460","2,633,874 ",Africa,,156422,,,394,
121,Uganda,"171,983",,"3,632                                ",,"100,431",,"67,920",,"3,551",75,"3,012,408","62,198","48,432,863 ",Africa,,"28213,33516",,,"1,402",
122,Ghana,"171,889",,"1,462                                ",,"170,425",,2,,"5,306",45,"2,541,625","78,456","32,395,450 ",Africa,,"18822,15813",,,0.06,
123,Jamaica,"156,584",,"3,664                                ",,N/A,N/A,N/A,,"52,455","1,227","1,183,986","396,633","2,985,094 ",North America,,198153,,,"16,659",
124,Cambodia,"139,040",+1,"3,056                                ",,"135,959",+3,25,,"8,098",178,"3,091,420","180,062","17,168,639 ",Asia,,"1235,6186",0.06,,1,
125,Rwanda,"133,518",,"1,468                                ",,"132,039",,11,,"9,817",108,"6,021,981","442,778","13,600,464 ",Africa,,"1029,2652",,,0.8,
126,Cameroon,"125,242",,"1,974                                ",,"123,263",,5,N/A,"4,487",71,"1,751,774","62,762","27,911,548 ",Africa,,"22314,14016",,,0.2,
